CohortMonth,CohortIndex,UserID,CohortSize,RetentionRate
2016-02-01,2,108,243,0.4444444444444444
2016-02-01,3,84,243,0.345679012345679
2016-02-01,4,83,243,0.34156378600823045
2016-02-01,5,66,243,0.2716049382716049
2016-02-01,6,73,243,0.3004115226337449
2016-02-01,7,75,243,0.30864197530864196
2016-02-01,8,58,243,0.23868312757201646
2016-02-01,9,55,243,0.22633744855967078
2016-03-01,1,170,170,1.0
2016-03-01,2,52,170,0.3058823529411765
2016-03-01,3,51,170,0.3
2016-03-01,4,44,170,0.25882352941176473
2016-03-01,5,51,170,0.3
2016-03-01,6,38,170,0.2235294117647059
2016-03-01,7,35,170,0.20588235294117646
2016-03-01,8,32,170,0.18823529411764706
2016-04-01,1,166,166,1.0
2016-04-01,2,56,166,0.3373493975903614
2016-04-01,3,47,166,0.28313253012048195
2016-04-01,4,46,166,0.27710843373493976
2016-04-01,5,42,166,0.25301204819277107
2016-04-01,6,40,166,0.24096385542168675
2016-04-01,7,40,166,0.24096385542168675
2016-05-01,1,163,163,1.0
2016-05-01,2,50,163,0.3067484662576687
2016-05-01,3,41,163,0.25153374233128833
2016-05-01,4,42,163,0.25766871165644173
2016-05-01,5,30,163,0.18404907975460122
2016-05-01,6,23,163,0.1411042944785276
2016-06-01,1,154,154,1.0
2016-06-01,2,46,154,0.2987012987012987
2016-06-01,3,30,154,0.19480519480519481
2016-06-01,4,24,154,0.15584415584415584
2016-06-01,5,19,154,0.12337662337662338
2016-07-01,1,121,121,1.0
2016-07-01,2,44,121,0.36363636363636365
2016-07-01,3,27,121,0.2231404958677686
2016-07-01,4,25,121,0.2066115702479339
2016-08-01,1,106,106,1.0
2016-08-01,2,20,106,0.18867924528301888
2016-08-01,3,13,106,0.12264150943396226
2016-09-01,1,73,73,1.0
2016-09-01,2,23,73,0.3150684931506849
2016-10-01,1,85,85,1.0
